,idcredito,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
56,65,2,2,1,3181,2,1.0,4,1,3,4.0,1,3,1.0,1,4,1,1,0,1
57,66,2,2,8,5190,1,2.0,4,4,3,4.0,3,3,1.0,4,4,2,1,0,1
58,67,1,2,1,2171,2,1.0,2,1,3,2.0,1,1,1.0,1,4,1,0,0,1
59,68,1,2,4,1007,4,3.0,4,3,3,1.0,1,3,1.0,1,4,1,0,0,1
60,70,2,2,1,2394,1,3.0,4,1,3,4.0,1,3,1.0,1,4,1,0,0,1
61,35,1,2,3,1474,2,1.0,4,1,3,4.0,1,1,1.0,1,1,1,1,0,1
62,8,2,2,5,6948,2,3.0,2,4,3,2.0,2,3,1.0,1,1,1,1,0,1
63,12,3,2,6,4308,2,1.0,3,1,3,4.0,1,3,1.0,1,4,1,0,0,0
64,1,1,2,1,1169,1,3.0,4,4,3,4.0,4,3,1.0,2,4,1,1,0,1
65,69,2,2,2,1819,2,3.0,4,4,3,4.0,2,2,2.0,1,4,1,1,0,0
66,10,2,1,4,5234,2,5.0,4,3,3,2.0,1,3,1.0,2,1,1,0,0,0
67,71,2,2,5,8133,2,3.0,1,1,3,2.0,1,1,1.0,1,4,1,0,0,1
68,72,1,1,1,730,1,2.0,4,4,3,2.0,2,3,3.0,2,3,1,1,0,1
69,73,1,1,9,1164,2,2.0,3,4,3,4.0,3,1,2.0,2,1,2,1,0,1
70,74,3,1,6,5954,2,4.0,2,1,3,1.0,2,1,1.0,2,3,1,0,0,1
71,76,1,1,5,1526,2,2.0,4,4,3,4.0,4,3,2.0,2,1,1,0,0,1
72,77,3,2,1,3965,2,1.0,4,4,3,3.0,2,3,1.0,1,4,1,0,0,0
73,79,3,4,5,9436,1,3.0,2,4,3,2.0,2,3,1.0,1,3,2,0,0,1
74,80,2,2,3,3832,2,1.0,2,3,3,1.0,1,3,1.0,1,4,1,0,0,1
75,81,2,2,1,5943,1,1.0,1,1,3,1.0,2,3,1.0,2,4,1,1,0,0
76,82,1,2,1,1213,3,2.0,4,4,3,3.0,2,2,1.0,1,4,1,1,0,1
77,83,1,2,6,1568,5,3.0,3,1,3,4.0,1,3,3.0,1,3,1,0,0,1
78,84,2,2,9,1755,2,2.0,4,1,4,4.0,3,3,1.0,1,3,1,1,0,1
79,85,1,2,1,2315,2,2.0,3,4,3,4.0,3,3,1.0,1,3,1,0,0,1
80,86,1,1,6,1412,2,3.0,4,1,4,2.0,1,3,1.0,2,1,1,1,0,1
81,87,1,1,3,1295,2,1.0,4,1,3,1.0,1,3,1.0,2,4,1,0,0,1
82,88,2,2,2,12612,5,3.0,1,4,3,4.0,2,3,2.0,1,4,2,1,0,0
83,89,1,2,4,2249,5,4.0,4,4,3,3.0,1,3,1.0,1,1,2,1,0,1
84,90,1,4,8,1108,2,4.0,4,4,3,3.0,1,3,1.0,2,4,1,0,0,0
85,91,1,1,1,618,2,2.0,4,4,3,4.0,3,3,1.0,1,4,1,0,0,1
86,92,1,1,5,1409,2,2.0,4,4,3,3.0,3,3,1.0,1,4,1,0,0,1
87,93,1,1,1,797,1,2.0,4,1,3,3.0,1,1,1.0,1,3,2,0,0,0
88,94,2,1,3,3617,1,2.0,4,4,2,4.0,1,3,3.0,2,4,1,0,0,1
89,96,3,4,6,15945,2,1.0,3,4,3,4.0,3,3,3.0,1,4,1,1,0,0
90,97,1,1,2,2012,1,4.0,4,1,3,2.0,3,3,1.0,1,4,1,0,0,1
91,98,1,2,6,2622,5,3.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
92,99,2,1,1,2337,2,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
93,100,1,3,5,7057,1,4.0,3,4,3,4.0,2,1,3.0,2,1,2,1,0,1
94,101,2,2,4,1469,5,2.0,4,3,3,4.0,2,3,3.0,1,3,1,0,0,1
95,102,2,2,1,2323,2,4.0,4,4,3,4.0,1,3,3.0,1,4,1,0,0,1
96,103,1,3,1,932,2,3.0,3,1,3,2.0,1,3,1.0,1,4,1,0,0,1
97,104,1,1,3,1919,2,4.0,4,4,3,3.0,2,3,3.0,1,4,1,1,0,1
98,105,1,2,5,2445,1,1.0,2,3,3,4.0,1,3,3.0,1,4,1,1,0,1
99,106,2,1,9,11938,2,3.0,2,4,1,3.0,2,3,1.0,2,1,2,1,0,0
100,107,1,5,4,6458,2,2.0,2,4,3,4.0,2,1,1.0,2,1,2,1,0,0
101,108,1,2,4,6078,2,4.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,1
102,109,2,2,3,7721,1,1.0,1,1,3,2.0,1,3,1.0,1,4,1,1,1,1
103,110,1,2,6,1410,3,2.0,1,3,3,2.0,2,3,1.0,1,4,1,1,0,1
104,111,1,3,6,1449,5,2.0,1,2,3,2.0,1,1,1.0,2,4,2,0,0,1
105,112,1,2,2,392,2,1.0,4,1,3,4.0,1,3,3.0,1,4,1,1,0,1
106,113,1,2,4,6260,2,4.0,3,4,3,3.0,1,3,3.0,1,3,1,0,0,1
107,114,2,1,4,7855,2,3.0,4,1,3,2.0,1,2,1.0,2,4,1,1,0,0
108,115,1,2,1,1680,3,2.0,3,3,3,1.0,2,3,1.0,1,4,1,0,0,1
109,116,3,1,1,3578,1,2.0,4,4,3,1.0,2,3,1.0,1,4,1,1,0,1
110,117,3,2,1,7174,1,4.0,4,1,3,3.0,1,3,1.0,1,1,1,1,0,0
111,118,1,1,3,2132,1,1.0,2,1,2,3.0,1,3,3.0,2,4,1,0,1,1
112,119,2,1,3,4281,3,3.0,1,1,3,4.0,1,3,1.0,2,4,1,0,0,0
113,120,1,1,4,2366,3,4.0,3,2,3,3.0,2,3,1.0,1,1,1,1,0,1
114,121,1,2,1,1835,2,3.0,3,1,3,2.0,1,3,1.0,2,4,1,1,0,0
115,122,2,1,5,3868,2,2.0,4,1,3,2.0,2,3,3.0,2,1,1,1,0,1
116,123,1,2,3,1768,2,3.0,3,4,3,2.0,1,3,3.0,1,3,1,0,0,1
117,124,1,1,4,781,2,2.0,4,4,3,4.0,4,3,2.0,2,4,1,1,0,1
118,125,1,2,3,1924,1,1.0,4,1,3,3.0,1,3,3.0,1,4,1,0,0,0
119,126,1,1,4,2121,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
120,127,1,2,1,701,2,3.0,4,3,3,2.0,2,3,1.0,1,3,1,0,0,1
121,128,1,2,8,639,2,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
122,129,1,1,5,1860,2,5.0,4,4,3,2.0,2,3,1.0,2,1,1,1,0,1
123,130,1,1,4,3499,2,3.0,3,1,2,2.0,1,3,1.0,2,4,1,0,0,0
124,131,3,2,4,8487,1,4.0,1,1,3,2.0,1,3,1.0,1,4,1,0,0,1
125,132,2,3,2,6887,2,3.0,4,4,3,3.0,1,2,1.0,1,4,1,1,0,0
126,133,1,2,3,2708,2,1.0,2,4,3,3.0,1,1,1.0,2,3,1,0,0,1
127,134,1,2,3,1984,2,3.0,4,4,3,4.0,2,1,2.0,2,4,1,0,0,1
128,135,4,2,1,10144,5,4.0,2,1,3,4.0,1,3,1.0,1,4,1,1,0,1
129,136,1,1,1,1240,1,2.0,4,1,3,2.0,2,3,1.0,2,4,1,1,0,1
130,137,2,3,5,8613,4,3.0,2,4,3,2.0,1,3,1.0,2,4,1,0,0,1
131,138,1,2,1,766,3,3.0,4,4,3,3.0,4,3,1.0,1,3,1,0,0,0
132,139,1,1,1,2728,1,4.0,4,4,4,2.0,2,1,1.0,3,4,1,1,0,1
133,140,1,2,1,1881,2,3.0,2,1,3,2.0,2,3,3.0,1,3,1,1,0,1
134,78,1,3,1,4771,2,3.0,2,4,3,4.0,3,3,1.0,1,4,1,0,0,1
135,141,1,2,4,709,4,1.0,2,3,3,2.0,1,3,1.0,1,2,1,0,1,1
136,142,2,2,1,4795,2,1.0,4,1,3,1.0,1,3,1.0,1,1,1,1,0,1
137,143,2,2,1,3416,2,3.0,3,4,3,2.0,1,3,1.0,1,1,1,0,0,1
138,144,1,2,3,2462,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,0
139,146,3,5,6,3566,5,4.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
140,147,1,1,4,860,2,2.0,1,1,3,4.0,2,3,1.0,2,4,1,1,0,1
141,148,1,1,4,682,5,4.0,4,1,3,3.0,3,3,1.0,2,4,1,1,0,1
142,149,2,1,3,5371,2,3.0,3,4,4,2.0,1,3,1.0,2,4,1,0,0,1
143,150,1,1,1,1582,4,2.0,4,4,3,4.0,2,3,1.0,2,4,1,0,0,1
144,151,1,2,1,1346,5,2.0,2,4,3,4.0,2,1,2.0,1,4,2,1,0,1
145,152,1,2,1,1924,2,3.0,1,4,3,4.0,2,3,1.0,1,4,1,1,1,1
146,153,2,2,1,5848,2,3.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
147,154,2,1,5,7758,4,2.0,2,1,3,4.0,1,3,3.0,1,4,1,0,0,1
148,155,2,3,6,6967,5,4.0,4,4,3,4.0,2,3,3.0,1,1,1,1,0,1
149,156,1,2,3,1282,2,3.0,2,1,3,4.0,1,3,3.0,1,4,1,0,0,0
150,157,1,1,8,1288,5,2.0,3,4,4,4.0,3,3,1.0,2,4,2,0,1,1
151,158,1,5,10,339,2,2.0,4,3,3,1.0,2,1,1.0,1,3,1,0,0,1
152,159,2,2,4,3512,5,4.0,2,4,3,3.0,2,1,1.0,2,4,1,1,0,1
153,160,1,1,1,1898,1,3.0,1,4,3,2.0,2,3,1.0,2,3,2,0,0,1
154,161,2,1,1,2872,5,2.0,3,4,3,4.0,2,3,1.0,1,4,2,1,0,1
155,162,1,1,4,1055,2,1.0,4,1,3,1.0,1,3,1.0,2,4,1,0,0,1
156,163,1,2,7,1262,3,4.0,4,4,3,3.0,2,3,1.0,2,4,1,1,0,1
157,164,1,2,4,7308,2,5.0,2,4,3,4.0,4,1,2.0,1,1,1,1,0,1
158,165,2,2,4,909,3,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
159,166,1,2,3,2978,3,3.0,1,4,3,2.0,1,3,1.0,1,4,1,1,0,1
160,167,1,2,3,1131,2,5.0,4,1,3,2.0,1,3,1.0,1,4,1,0,0,0
161,168,1,2,3,1577,4,1.0,4,1,3,1.0,1,3,1.0,1,4,1,0,0,1
162,170,2,1,6,1935,2,2.0,4,2,3,4.0,1,3,1.0,2,4,1,1,0,0
163,171,1,4,4,950,2,2.0,4,4,3,3.0,1,3,3.0,2,4,2,0,0,0
164,172,1,2,3,763,2,3.0,4,1,3,1.0,1,3,1.0,1,4,1,1,0,1
165,173,2,3,3,2064,2,5.0,3,1,3,2.0,2,3,1.0,1,1,1,1,0,0
166,175,1,3,2,3414,2,1.0,2,4,3,1.0,1,3,1.0,2,4,1,0,0,0
167,176,2,5,5,7485,1,5.0,4,1,3,1.0,3,1,1.0,1,1,1,1,0,0
168,177,1,2,3,2577,2,3.0,2,2,3,1.0,2,3,1.0,1,4,1,0,0,1
169,178,1,1,1,338,3,2.0,4,4,3,4.0,3,3,1.0,2,4,1,0,0,1
170,179,1,2,1,1963,2,4.0,4,4,3,2.0,1,3,3.0,2,1,2,1,0,1
171,180,1,1,4,571,2,2.0,4,4,3,4.0,4,3,1.0,2,4,1,0,0,1
172,181,2,3,6,9572,2,1.0,1,2,3,1.0,1,3,1.0,2,4,1,0,0,0
173,182,2,3,6,4455,2,3.0,2,2,3,2.0,1,2,1.0,2,1,1,1,0,0
174,183,1,5,4,1647,1,3.0,4,4,3,2.0,2,3,1.0,2,3,2,0,0,0
175,184,2,1,3,3777,4,3.0,4,4,3,4.0,3,3,1.0,1,4,1,1,0,1
176,185,1,1,4,884,2,2.0,4,4,3,4.0,2,1,1.0,1,4,2,1,0,0
177,186,1,1,1,1360,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
178,187,1,5,5,5129,2,2.0,2,1,3,4.0,4,1,2.0,1,1,2,1,0,0
179,188,1,1,4,1175,2,5.0,2,4,3,3.0,4,3,2.0,3,2,1,1,0,1
180,189,1,2,1,674,5,4.0,4,3,3,1.0,1,3,1.0,1,4,1,0,0,0
181,190,1,4,3,3244,2,3.0,1,1,3,4.0,1,1,1.0,2,4,1,1,0,1
182,191,2,2,6,4591,4,3.0,2,4,3,3.0,3,3,1.0,3,1,1,1,0,0
183,192,3,4,6,3844,5,4.0,4,4,3,4.0,2,3,2.0,1,3,2,0,0,0
184,193,2,2,6,3915,2,3.0,4,4,3,2.0,2,3,1.0,1,4,2,1,0,0
185,194,1,2,1,2108,2,4.0,2,3,3,2.0,1,3,3.0,1,4,1,0,0,1
186,195,3,2,1,3031,5,3.0,4,4,4,4.0,1,3,3.0,1,4,1,0,0,0
187,196,1,1,2,1501,2,2.0,2,1,3,3.0,2,3,1.0,2,1,1,1,0,0
188,197,1,1,1,1382,2,3.0,1,1,3,1.0,1,3,1.0,2,4,1,1,0,1
189,198,1,2,3,951,5,1.0,4,1,3,4.0,1,1,3.0,4,4,1,0,0,0
190,201,1,1,2,936,3,2.0,4,4,3,2.0,3,3,1.0,2,4,1,1,0,1
191,202,1,2,4,1168,2,3.0,4,3,3,3.0,1,3,1.0,1,3,1,0,0,1
192,203,2,3,6,5117,2,4.0,3,4,3,4.0,1,3,1.0,2,4,1,0,0,1
193,204,1,2,10,902,2,4.0,4,3,3,4.0,1,3,3.0,1,4,1,0,0,0
194,205,1,1,4,1495,2,2.0,4,4,3,1.0,2,3,1.0,2,3,2,0,0,1
195,206,2,1,5,10623,2,2.0,3,4,3,4.0,2,3,2.0,3,1,2,1,0,1
196,207,1,1,3,1935,2,2.0,4,4,3,4.0,2,3,1.0,3,4,1,1,0,1
197,208,1,1,7,1424,2,4.0,4,4,3,3.0,1,3,1.0,1,4,1,0,0,1
198,209,2,2,6,6568,2,3.0,2,3,3,2.0,1,2,1.0,1,3,1,0,0,1
199,210,1,2,5,1413,4,4.0,3,4,3,2.0,3,3,1.0,1,4,1,0,1,1
200,169,2,2,3,3972,2,4.0,2,1,3,4.0,1,3,3.0,1,4,1,1,0,1
201,145,1,1,3,2288,2,3.0,4,1,3,4.0,1,3,1.0,1,4,1,1,0,1
202,174,1,2,1,1414,2,3.0,4,4,4,2.0,1,3,1.0,1,4,1,0,1,1
203,211,1,1,1,3074,1,3.0,1,4,3,2.0,1,3,1.0,2,4,2,0,0,1
204,212,2,2,1,3835,1,2.0,2,1,3,4.0,2,3,1.0,1,3,1,1,0,1
205,213,2,4,6,5293,2,5.0,2,4,3,4.0,3,2,1.0,2,4,1,1,0,0
206,214,2,3,6,1908,2,2.0,4,4,3,4.0,4,3,1.0,1,1,1,1,0,0
207,215,2,1,1,3342,1,2.0,4,4,3,2.0,3,3,1.0,1,4,1,1,0,1
208,216,1,1,10,932,1,4.0,1,1,3,3.0,2,3,1.0,2,3,1,0,0,1
209,217,1,4,6,3104,2,4.0,3,4,3,1.0,1,1,1.0,1,4,1,1,0,1
210,218,2,2,1,3913,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,1,0,1
211,219,2,2,3,3021,2,3.0,2,2,3,2.0,1,3,3.0,1,3,1,0,0,1
212,220,1,2,4,1364,2,3.0,2,1,3,4.0,4,3,1.0,1,4,1,1,0,1
213,221,1,2,1,625,2,1.0,4,3,4,1.0,1,1,1.0,1,3,1,0,0,1
214,222,1,2,2,1200,1,3.0,4,1,3,4.0,1,1,3.0,1,4,1,1,0,1
215,223,1,2,1,707,2,3.0,4,4,3,2.0,1,1,1.0,2,4,1,0,0,1
216,224,2,3,6,2978,1,3.0,4,4,3,4.0,1,3,1.0,2,4,2,1,0,1
217,225,1,2,5,4657,2,3.0,3,4,3,2.0,1,3,1.0,1,4,1,1,0,1
218,226,2,4,8,2613,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
219,227,3,2,1,10961,4,4.0,1,4,2,2.0,1,1,1.0,2,4,1,1,0,0
220,228,1,2,3,7865,2,2.0,4,4,3,4.0,3,3,2.0,1,1,1,1,0,0
221,229,1,2,1,1478,2,4.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
222,230,2,2,3,3149,2,1.0,4,4,3,1.0,1,1,2.0,1,4,1,0,0,1
223,231,2,2,1,4210,2,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
224,232,1,2,4,2507,3,2.0,2,4,3,4.0,3,3,2.0,1,3,1,0,0,1
225,235,1,1,1,1544,2,4.0,2,4,3,1.0,2,3,1.0,3,3,2,0,0,1
226,236,2,2,1,1823,2,5.0,4,4,3,2.0,1,2,1.0,1,1,2,0,0,0
227,237,1,2,4,14555,1,5.0,1,4,3,2.0,1,3,1.0,1,2,1,1,0,0
228,238,1,2,6,2767,5,2.0,4,2,3,2.0,3,1,3.0,2,3,1,0,0,0
229,239,1,1,1,1291,2,3.0,4,1,3,2.0,2,3,1.0,2,4,1,0,0,1
230,240,2,2,1,2522,2,2.0,1,4,4,3.0,2,3,1.0,1,4,2,0,0,1
231,241,2,2,4,915,1,2.0,4,1,3,2.0,1,1,1.0,1,4,1,0,0,0
232,242,1,2,1,1595,2,4.0,3,4,3,2.0,3,3,1.0,1,4,2,0,0,1
233,243,3,4,5,4605,2,2.0,3,4,3,4.0,1,3,2.0,2,4,2,0,0,0
234,244,1,1,6,1185,2,3.0,3,1,3,2.0,1,3,1.0,2,4,1,0,0,1
235,245,1,5,10,3447,3,3.0,4,1,3,3.0,2,3,1.0,1,3,2,0,0,1
236,246,2,2,6,1258,2,4.0,4,4,3,1.0,1,3,1.0,1,4,1,1,0,1
237,247,1,1,1,717,2,2.0,4,4,3,4.0,3,3,1.0,3,4,1,0,0,1
238,248,1,4,4,1204,5,3.0,4,4,3,1.0,2,1,3.0,1,4,1,0,1,1
239,249,2,2,3,1925,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,1
240,250,1,2,1,433,2,5.0,3,1,2,4.0,1,3,3.0,1,4,1,0,0,0
241,251,1,1,4,666,4,4.0,3,1,3,4.0,2,3,1.0,2,3,1,1,0,1
242,252,1,2,3,2251,2,3.0,1,1,3,2.0,2,3,1.0,1,3,1,0,0,1
243,253,2,2,4,2150,2,3.0,4,1,4,2.0,1,1,1.0,1,4,1,0,0,0
244,254,2,3,3,4151,5,3.0,2,4,3,3.0,2,3,1.0,2,4,1,0,0,1
245,255,1,2,3,2030,1,4.0,2,4,3,1.0,1,3,1.0,1,4,1,1,0,1
246,256,4,3,1,7418,1,3.0,1,4,3,1.0,1,3,1.0,1,3,1,0,0,1
247,257,2,1,1,2684,2,3.0,4,4,3,2.0,2,3,1.0,2,3,1,0,0,1
248,258,1,5,1,2149,2,3.0,4,2,3,1.0,1,3,2.0,1,4,1,0,0,0
249,259,1,2,5,3812,5,1.0,1,1,3,4.0,1,3,1.0,1,4,1,1,0,1
250,260,1,1,1,1154,5,5.0,4,1,3,4.0,3,3,1.0,3,3,1,0,0,1
251,261,1,2,3,1657,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,1
252,262,2,2,1,1603,2,2.0,4,1,3,4.0,3,3,1.0,1,4,1,0,0,1
253,263,1,1,4,5302,2,2.0,2,4,3,4.0,2,3,2.0,3,1,1,1,0,1
254,264,1,1,2,2748,2,2.0,2,1,3,4.0,3,1,2.0,3,3,1,0,0,1
255,265,1,1,4,1231,2,2.0,3,4,3,4.0,1,3,1.0,2,3,2,0,1,1
256,266,1,2,1,802,2,2.0,4,4,3,3.0,2,3,1.0,1,4,2,0,0,0
257,267,2,1,6,6304,1,2.0,4,4,3,4.0,2,3,1.0,2,4,1,0,0,1
258,268,2,2,1,1533,2,1.0,4,1,3,3.0,2,2,1.0,1,4,1,1,0,1
259,269,1,2,4,8978,2,2.0,1,2,3,4.0,2,3,1.0,1,1,1,1,1,0
260,271,1,2,4,2662,1,4.0,4,4,3,3.0,1,3,1.0,1,4,1,0,1,1
261,272,1,1,3,1402,3,4.0,3,1,3,4.0,2,3,3.0,1,4,1,1,0,1
262,273,3,5,4,12169,1,5.0,4,4,2,4.0,2,3,2.0,1,1,1,1,0,1
263,274,3,2,1,3060,2,4.0,4,4,3,4.0,1,3,1.0,2,4,1,0,0,0
264,275,2,2,8,11998,2,1.0,1,2,3,1.0,2,3,1.0,1,3,1,1,0,0
265,276,1,2,1,2697,2,3.0,1,4,3,2.0,1,3,1.0,1,4,2,0,0,1
266,277,1,1,1,2404,2,3.0,2,1,3,2.0,1,3,1.0,2,4,1,0,0,1
267,278,1,2,3,1262,1,2.0,2,2,3,4.0,3,3,1.0,1,3,1,1,0,1
268,279,1,2,3,4611,2,1.0,1,1,3,4.0,1,3,1.0,1,4,1,0,0,0
269,280,2,2,1,1901,5,3.0,4,4,3,4.0,1,3,3.0,1,1,1,1,0,1
270,233,1,2,1,2141,5,4.0,3,4,3,1.0,2,3,1.0,1,4,1,0,0,1
271,281,1,1,5,3368,4,2.0,3,4,3,4.0,1,3,3.0,2,4,1,1,0,1
272,282,1,2,3,1574,2,3.0,4,4,3,2.0,3,3,1.0,1,4,1,0,0,1
273,283,1,5,1,1445,1,4.0,4,4,3,4.0,3,1,1.0,1,3,1,0,0,1
274,284,1,1,3,1520,1,2.0,4,4,3,4.0,4,3,1.0,1,4,1,0,0,1
275,285,2,1,4,3878,5,1.0,4,2,3,2.0,2,3,1.0,1,4,1,1,0,1
276,286,3,2,4,10722,2,1.0,1,1,3,1.0,2,3,1.0,1,3,1,1,0,1
277,287,3,2,5,4788,2,4.0,4,4,3,3.0,1,3,1.0,1,4,2,0,0,1
278,288,3,3,9,7582,5,5.0,2,4,3,4.0,1,3,2.0,1,1,1,1,0,1
279,289,1,2,1,1092,2,3.0,4,1,4,4.0,3,3,1.0,2,4,1,1,0,1
280,290,2,3,1,1024,2,1.0,4,3,3,4.0,3,2,1.0,1,4,1,0,0,0
