,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
105,1,2,2,0.9996910272619076,2,1.0,4,1,3,4.0,1,3,3.0,1,4,1,1,0,1
106,1,2,4,0.9999985327023486,2,4.0,3,4,3,3.0,1,3,3.0,1,3,1,0,0,1
107,2,1,4,0.9999992544702693,2,3.0,4,1,3,2.0,1,2,1.0,2,4,1,1,0,0
108,1,2,1,0.9999858279656747,3,2.0,3,3,3,1.0,2,3,1.0,1,4,1,0,0,1
109,3,1,1,0.9999964068543783,1,2.0,4,4,3,1.0,2,3,1.0,1,4,1,1,0,1
110,3,2,1,0.9999992130778572,1,4.0,4,1,3,3.0,1,3,1.0,1,1,1,1,0,0
111,1,1,3,0.9999919700427593,1,1.0,2,1,2,3.0,1,3,3.0,2,4,1,0,1,1
112,2,1,3,0.9999975173281289,3,3.0,1,1,3,4.0,1,3,1.0,2,4,1,0,0,0
113,1,1,4,0.9999916935001594,3,4.0,3,2,3,3.0,2,3,1.0,1,1,1,1,0,1
114,1,2,1,0.9999888634191156,2,3.0,3,1,3,2.0,1,3,1.0,2,4,1,1,0,0
115,2,1,5,0.9999967249267662,2,2.0,4,1,3,2.0,2,3,3.0,2,1,1,1,0,1
116,1,2,3,0.999984644402756,2,3.0,3,4,3,2.0,1,3,3.0,1,3,1,0,0,1
117,1,1,4,0.9998893555531315,2,2.0,4,4,3,4.0,4,3,2.0,2,4,1,1,0,1
118,1,2,3,0.9999881140253956,1,1.0,4,1,3,3.0,1,3,3.0,1,4,1,0,0,0
119,1,1,4,0.9999878854503755,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
120,1,2,1,0.9999155582842176,2,3.0,4,3,3,2.0,2,3,1.0,1,3,1,0,0,1
121,1,2,8,0.9998090285411464,2,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
122,1,1,5,0.9999822238524236,2,5.0,4,4,3,2.0,2,3,1.0,2,1,1,1,0,1
123,1,1,4,0.9999966920039426,2,3.0,3,1,2,2.0,1,3,1.0,2,4,1,0,0,0
124,3,2,4,0.999999368312067,1,4.0,1,1,3,2.0,1,3,1.0,1,4,1,0,0,1
125,2,3,2,0.9999988931254133,2,3.0,4,4,3,3.0,1,2,1.0,1,4,1,1,0,0
126,1,2,3,0.9999948863545131,2,1.0,2,4,3,3.0,1,1,1.0,2,3,1,0,0,1
127,1,2,3,0.9999853925303362,2,3.0,4,4,3,4.0,2,1,2.0,2,4,1,0,0,1
128,4,2,1,0.9999994023371721,5,4.0,2,1,3,4.0,1,3,1.0,1,4,1,1,0,1
129,1,1,1,0.9999756122345255,1,2.0,4,1,3,2.0,2,3,1.0,2,4,1,1,0,1
130,2,3,5,0.9999991305387048,4,3.0,2,4,3,2.0,1,3,1.0,2,4,1,0,0,1
131,1,2,1,0.9999054255486078,3,3.0,4,4,3,3.0,4,3,1.0,1,3,1,0,0,0
132,1,1,1,0.9999928783192993,1,4.0,4,4,4,2.0,2,1,1.0,3,4,1,1,0,1
133,1,2,1,0.9999898253780506,2,3.0,2,1,3,2.0,2,3,3.0,1,3,1,1,0,1
134,1,3,1,0.9999976496452474,2,3.0,2,4,3,4.0,3,3,1.0,1,4,1,0,0,1
135,1,2,4,0.9999174528945526,4,1.0,2,3,3,2.0,1,3,1.0,1,2,1,0,1,1
136,2,2,1,0.9999987604420658,2,1.0,4,1,3,1.0,1,3,1.0,1,1,1,1,0,1
137,2,2,1,0.9999967863879277,2,3.0,3,4,3,2.0,1,3,1.0,1,1,1,0,0,1
138,1,2,3,0.9999926585958789,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,0
139,3,5,6,0.9999926866643407,5,4.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
140,1,1,4,0.9999391618530736,2,2.0,1,1,3,4.0,2,3,1.0,2,4,1,1,0,1
141,1,1,4,0.9998538344796654,5,4.0,4,1,3,3.0,3,3,1.0,2,4,1,1,0,1
142,2,1,3,0.9999981800987927,2,3.0,3,4,4,2.0,1,3,1.0,2,4,1,0,0,1
143,1,1,1,0.9999768260567786,4,2.0,4,4,3,4.0,2,3,1.0,2,4,1,0,0,1
144,1,2,1,0.9999690915111968,5,2.0,2,4,3,4.0,2,1,2.0,1,4,2,1,0,1
145,1,2,1,0.999987033503266,2,3.0,1,4,3,4.0,2,3,1.0,1,4,1,1,1,1
146,2,2,1,0.9999986256978219,2,3.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
147,2,1,5,0.9999990197162071,4,2.0,2,1,3,4.0,1,3,3.0,1,4,1,0,0,1
148,2,3,6,0.999998207634962,5,4.0,4,4,3,4.0,2,3,3.0,1,1,1,1,0,1
149,1,2,3,0.9999714041389104,2,3.0,2,1,3,4.0,1,3,3.0,1,4,1,0,0,0
150,1,1,8,0.9999406301670255,5,2.0,3,4,4,4.0,3,3,1.0,2,4,2,0,1,1
151,1,5,10,0.999187389191047,2,2.0,4,3,3,1.0,2,1,1.0,1,3,1,0,0,1
152,2,2,4,0.9999946490433178,5,4.0,2,4,3,3.0,2,1,1.0,2,4,1,1,0,1
153,1,1,1,0.9999895904472503,1,3.0,1,4,3,2.0,2,3,1.0,2,3,2,0,0,1
154,2,1,1,0.999992604694043,5,2.0,3,4,3,4.0,2,3,1.0,1,4,2,1,0,1
155,1,1,4,0.9999627163099617,2,1.0,4,1,3,1.0,1,3,1.0,2,4,1,0,0,1
156,1,2,7,0.9999478894766839,3,4.0,4,4,3,3.0,2,3,1.0,2,4,1,1,0,1
157,1,2,4,0.9999988671887344,2,5.0,2,4,3,4.0,4,1,2.0,1,1,1,1,0,1
158,2,2,4,0.999923158488529,3,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
159,1,2,3,0.999994756755012,3,3.0,1,4,3,2.0,1,3,1.0,1,4,1,1,0,1
160,1,2,3,0.9999601325007903,2,5.0,4,1,3,2.0,1,3,1.0,1,4,1,0,0,0
161,1,2,3,0.9999823079660379,4,1.0,4,1,3,1.0,1,3,1.0,1,4,1,0,0,1
162,2,1,6,0.9999830409805345,2,2.0,4,2,3,4.0,1,3,1.0,2,4,1,1,0,0
163,1,4,4,0.999925770038802,2,2.0,4,4,3,3.0,1,3,3.0,2,4,2,0,0,0
164,1,2,3,0.9999270051365943,2,3.0,4,1,3,1.0,1,3,1.0,1,4,1,1,0,1
165,2,3,3,0.9999892022961547,2,5.0,3,1,3,2.0,2,3,1.0,1,1,1,1,0,0
166,1,3,2,0.9999965252326984,2,1.0,2,4,3,1.0,1,3,1.0,2,4,1,0,0,0
167,2,5,5,0.9999989112065079,1,5.0,4,1,3,1.0,3,1,1.0,1,1,1,1,0,0
168,1,2,3,0.9999941273793994,2,3.0,2,2,3,1.0,2,3,1.0,1,4,1,0,0,1
169,1,1,1,0.9995014409794246,3,2.0,4,4,3,4.0,3,3,1.0,2,4,1,0,0,1
170,1,2,1,0.9999868948425945,2,4.0,4,4,3,2.0,1,3,3.0,2,1,2,1,0,1
171,1,1,4,0.9997991655384608,2,2.0,4,4,3,4.0,4,3,1.0,2,4,1,0,0,1
172,2,3,6,0.9999994488299134,2,1.0,1,2,3,1.0,1,3,1.0,2,4,1,0,0,0
173,2,3,6,0.9999975815102834,2,3.0,2,2,3,2.0,1,2,1.0,2,1,1,1,0,0
174,1,5,4,0.9999764073129924,1,3.0,4,4,3,2.0,2,3,1.0,2,3,2,0,0,0
175,2,1,3,0.9999952684141884,4,3.0,4,4,3,4.0,3,3,1.0,1,4,1,1,0,1
176,1,1,4,0.9999289862920258,2,2.0,4,4,3,4.0,2,1,1.0,1,4,2,1,0,0
177,1,1,1,0.9999745900688758,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
178,1,5,5,0.9999977762343408,2,2.0,2,1,3,4.0,4,1,2.0,1,1,2,1,0,0
179,1,1,4,0.9999529231977924,2,5.0,2,4,3,3.0,4,3,2.0,3,2,1,1,0,1
180,1,2,1,0.999877849960781,5,4.0,4,3,3,1.0,1,3,1.0,1,4,1,0,0,0
181,1,4,3,0.9999956288743258,2,3.0,1,1,3,4.0,1,1,1.0,2,4,1,1,0,1
182,2,2,6,0.9999967263490402,4,3.0,2,4,3,3.0,3,3,1.0,3,1,1,1,0,0
183,3,4,6,0.999993570863315,5,4.0,4,4,3,4.0,2,3,2.0,1,3,2,0,0,0
184,2,2,6,0.9999954982370215,2,3.0,4,4,3,2.0,2,3,1.0,1,4,2,1,0,0
185,1,2,1,0.9999898733755626,2,4.0,2,3,3,2.0,1,3,3.0,1,4,1,0,0,1
186,3,2,1,0.9999918907793561,5,3.0,4,4,4,4.0,1,3,3.0,1,4,1,0,0,0
187,1,1,2,0.9999871285276428,2,2.0,2,1,3,3.0,2,3,1.0,2,1,1,1,0,0
188,1,1,1,0.9999837693828245,2,3.0,1,1,3,1.0,1,3,1.0,2,4,1,1,0,1
189,1,2,3,0.9999303479120941,5,1.0,4,1,3,4.0,1,1,3.0,4,4,1,0,0,0
190,1,1,2,0.9999395098355883,3,2.0,4,4,3,2.0,3,3,1.0,2,4,1,1,0,1
191,1,2,4,0.9999633511422226,2,3.0,4,3,3,3.0,1,3,1.0,1,3,1,0,0,1
192,2,3,6,0.9999970974422624,2,4.0,3,4,3,4.0,1,3,1.0,2,4,1,0,0,1
193,1,2,10,0.9998697409436781,2,4.0,4,3,3,4.0,1,3,3.0,1,4,1,0,0,0
194,1,1,4,0.9999776296362551,2,2.0,4,4,3,1.0,2,3,1.0,2,3,2,0,0,1
195,2,1,5,0.9999994638816622,2,2.0,3,4,3,4.0,2,3,2.0,3,1,2,1,0,1
196,1,1,3,0.9999842427724057,2,2.0,4,4,3,4.0,2,3,1.0,3,4,1,1,0,1
197,1,1,7,0.9999627691699504,2,4.0,4,4,3,3.0,1,3,1.0,1,4,1,0,0,1
198,2,2,6,0.9999988293573916,2,3.0,2,3,3,2.0,1,2,1.0,1,3,1,0,0,1
199,1,2,5,0.9999651921014011,4,4.0,3,4,3,2.0,3,3,1.0,1,4,1,0,1,1
200,2,2,3,0.9999966406504056,2,4.0,2,1,3,4.0,1,3,3.0,1,4,1,1,0,1
201,1,1,3,0.9999907354642177,2,3.0,4,1,3,4.0,1,3,1.0,1,4,1,1,0,1
202,1,2,1,0.9999744932725966,2,3.0,4,4,4,2.0,1,3,1.0,1,4,1,0,1,1
203,1,1,1,0.9999958199002432,1,3.0,1,4,3,2.0,1,3,1.0,2,4,2,0,0,1
204,2,2,1,0.9999975862291175,1,2.0,2,1,3,4.0,2,3,1.0,1,3,1,1,0,1
205,2,4,6,0.9999970374043936,2,5.0,2,4,3,4.0,3,2,1.0,2,4,1,1,0,0
206,2,3,6,0.9999802228880498,2,2.0,4,4,3,4.0,4,3,1.0,1,1,1,1,0,0
207,2,1,1,0.9999957471707325,1,2.0,4,4,3,2.0,3,3,1.0,1,4,1,1,0,1
208,1,1,10,0.999903309352292,1,4.0,1,1,3,3.0,2,3,1.0,2,3,1,0,0,1
209,1,4,6,0.999993201807686,2,4.0,3,4,3,1.0,1,1,1.0,1,4,1,1,0,1
210,2,2,1,0.999997191677818,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,1,0,1
211,2,2,3,0.9999955075890244,2,3.0,2,2,3,2.0,1,3,3.0,1,3,1,0,0,1
212,1,2,4,0.9999704393015333,2,3.0,2,1,3,4.0,4,3,1.0,1,4,1,1,0,1
213,1,2,1,0.9999129713622941,2,1.0,4,3,4,1.0,1,1,1.0,1,3,1,0,0,1
214,1,2,2,0.9999680570861454,1,3.0,4,1,3,4.0,1,1,3.0,1,4,1,1,0,1
215,1,2,1,0.9999109850007963,2,3.0,4,4,3,2.0,1,1,1.0,2,4,1,0,0,1
216,2,3,6,0.999991374060079,1,3.0,4,4,3,4.0,1,3,1.0,2,4,2,1,0,1
217,1,2,5,0.9999974178951762,2,3.0,3,4,3,2.0,1,3,1.0,1,4,1,1,0,1
218,2,4,8,0.9999871849328784,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
219,3,2,1,0.9999996004780713,4,4.0,1,4,2,2.0,1,1,1.0,2,4,1,1,0,0
220,1,2,3,0.9999991512861359,2,2.0,4,4,3,4.0,3,3,2.0,1,1,1,1,0,0
221,1,2,1,0.9999771120853195,2,4.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
222,2,2,3,0.9999955124245208,2,1.0,4,4,3,1.0,1,1,2.0,1,4,1,0,0,1
223,2,2,1,0.9999972918339993,2,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
224,1,2,4,0.9999910105333876,3,2.0,2,4,3,4.0,3,3,2.0,1,3,1,0,0,1
225,1,1,1,0.999981124188784,2,4.0,2,4,3,1.0,2,3,1.0,3,3,2,0,0,1
226,2,2,1,0.9999857074091505,2,5.0,4,4,3,2.0,1,2,1.0,1,1,2,0,0,0
227,1,2,4,0.9999997757827385,1,5.0,1,4,3,2.0,1,3,1.0,1,2,1,1,0,0
228,1,2,6,0.9999911185309107,5,2.0,4,2,3,2.0,3,1,3.0,2,3,1,0,0,0
229,1,1,1,0.9999754011192454,2,3.0,4,1,3,2.0,2,3,1.0,2,4,1,0,0,1
230,2,2,1,0.9999925320985144,2,2.0,1,4,4,3.0,2,3,1.0,1,4,2,0,0,1
231,2,2,4,0.9999522265417119,1,2.0,4,1,3,2.0,1,1,1.0,1,4,1,0,0,0
232,1,2,1,0.9999793640491251,2,4.0,3,4,3,2.0,3,3,1.0,1,4,2,0,0,1
233,3,4,5,0.9999965575998775,2,2.0,3,4,3,4.0,1,3,2.0,2,4,2,0,0,0
234,1,1,6,0.9999619028697504,2,3.0,3,1,3,2.0,1,3,1.0,2,4,1,0,0,1
235,1,5,10,0.9999912472389877,3,3.0,4,1,3,3.0,2,3,1.0,1,3,2,0,0,1
236,2,2,6,0.9999567186206242,2,4.0,4,4,3,1.0,1,3,1.0,1,4,1,1,0,1
237,1,1,1,0.9998891426934337,2,2.0,4,4,3,4.0,3,3,1.0,3,4,1,0,0,1
238,1,4,4,0.9999506802418713,5,3.0,4,4,3,1.0,2,1,3.0,1,4,1,0,1,1
239,2,2,3,0.9999874517457215,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,1
240,1,2,1,0.9997280949804587,2,5.0,3,1,2,4.0,1,3,3.0,1,4,1,0,0,0
241,1,1,4,0.9998703910634267,4,4.0,3,1,3,4.0,2,3,1.0,2,3,1,1,0,1
242,1,2,3,0.9999932899839985,2,3.0,1,1,3,2.0,2,3,1.0,1,3,1,0,0,1
243,2,2,4,0.999989724333616,2,3.0,4,1,4,2.0,1,1,1.0,1,4,1,0,0,0
244,2,3,3,0.999996227706872,5,3.0,2,4,3,3.0,2,3,1.0,2,4,1,0,0,1
245,1,2,3,0.9999888375767929,1,4.0,2,4,3,1.0,1,3,1.0,1,4,1,1,0,1
246,4,3,1,0.999999218562428,1,3.0,1,4,3,1.0,1,3,1.0,1,3,1,0,0,1
247,2,1,1,0.9999935451861091,2,3.0,4,4,3,2.0,2,3,1.0,2,3,1,0,0,1
248,1,5,1,0.9999889569217091,2,3.0,4,2,3,1.0,1,3,2.0,1,4,1,0,0,0
249,1,2,5,0.9999960774678086,5,1.0,1,1,3,4.0,1,3,1.0,1,4,1,1,0,1
250,1,1,1,0.9999496927692048,5,5.0,4,1,3,4.0,3,3,1.0,3,3,1,0,0,1
251,1,2,3,0.9999836108352763,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,1
252,2,2,1,0.9999811260674579,2,2.0,4,1,3,4.0,3,3,1.0,1,4,1,0,0,1
253,1,1,4,0.9999982035680891,2,2.0,2,4,3,4.0,2,3,2.0,3,1,1,1,0,1
254,1,1,2,0.9999948355058969,2,2.0,2,1,3,4.0,3,1,2.0,3,3,1,0,0,1
255,1,1,4,0.9999650266704524,2,2.0,3,4,3,4.0,1,3,1.0,2,3,2,0,1,1
256,1,2,1,0.999923050406145,2,2.0,4,4,3,3.0,2,3,1.0,1,4,2,0,0,0
257,2,1,6,0.999998251155255,1,2.0,4,4,3,4.0,2,3,1.0,2,4,1,0,0,1
258,2,2,1,0.9999834052969003,2,1.0,4,1,3,3.0,2,2,1.0,1,4,1,1,0,1
259,1,2,4,0.999999516156301,2,2.0,1,2,3,4.0,2,3,1.0,1,1,1,1,1,0
